audit_id,anonymous_system_id,ticket_id,ticket_text,gold_label,gold_resolution_summary,gold_resolution_steps,gold_acceptance_criteria,generated_final_answer,generated_resolution_steps,generated_reasoning,generated_escalation_flags,category_understanding_manual,answer_actionable_manual,answer_complete_manual,resolution_steps_correct_manual,escalation_appropriate_manual,policy_grounded_manual,overall_manual_quality,reviewer_notes
AUDIT-0001,System D,5435,new project code oracle fusion code setup hello appreciate create attached code today because create thank officer,Internal Project,Setup Oracle Fusion code for new internal project,"[""Create a new project code in Oracle Fusion for the internal project"", ""Ensure the correct cost centre and GL code are selected for the project"", ""Guide the requester through the procurement system access setup"", ""Verify that the requester can access the procurement system"", ""Check the PO status to ensure it progresses from draft to approved"", ""Resolve any validation errors and resubmit the PO if necessary"", ""Confirm PO approval and share the PO number with the requester""]","[""The project code is created successfully in Oracle Fusion"", ""The PO is approved and the PO number is shared with the requester""]","To create a new project code for Oracle Fusion, follow these steps: Log in to Oracle Fusion, navigate to the project management module, and create a new project. Enter the required details and save. Attach the code by uploading it to the project documents section.","[""Log in to Oracle Fusion and navigate to the project management module."", ""Create a new project and enter the required details."", ""Save the project and note the project code."", ""Upload the attached code to the project documents section."", ""Verify the code is correctly attached and accessible.""]",The request is for setting up a new project code in Oracle Fusion and attaching the code. This involves creating a project and uploading the necessary code.,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0002,System E,2530,re update re update hello please same he left today thank,Hardware,Network Connectivity Troubleshooting,"[""Check if other users or devices on the same network segment are affected."", ""Confirm Wi-Fi is enabled or network cable is properly seated and undamaged."", ""Run basic tests: `ipconfig`/`ping` (or equivalents), check for valid IP and gateway."", ""Forget and re-add Wi-Fi network or disable/enable network adapter."", ""Verify VPN client status and split-tunnel policies; reconnect if required."", ""Update network adapter drivers and restart the device."", ""If only this device fails on a known-good network, assign for onsite diagnosis.""]","[""Network connectivity is restored and stable"", ""User can access the internet or office Wi-Fi without interruptions""]",Hardware access needs to be updated for the departed employee.,"[""Review hardware inventory for departed employee."", ""Revoke all hardware access related to the employee."", ""Update documentation and systems accordingly.""]","The request involves updating hardware access for an employee who has left, which falls under hardware management.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0003,System B,5797,leaver milos panic leave date october location belgrade leaver form panic leave date october location hello leaver form has filled by name panic leaving date october location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,HR Support,Employee Offboarding IT Checklist for Milos Panic,"[""1. Confirm Milos Panic's last working day and offboarding type (resignation, end of contract, termination)."", ""2. Schedule account disablement aligned with HR and legal requirements, ensuring immediate access removal if necessary."", ""3. Arrange for the return of Milos Panic's laptop and other company equipment, updating the asset inventory accordingly."", ""4. Configure mailbox forwarding or delegate access to Milos Panic's mailbox as directed by HR."", ""5. Remove Milos Panic's access to all HR systems, shared drives, and applications."", ""6. Archive Milos Panic's user data (email, OneDrive, project folders) following the organization's retention policy."", ""7. Document all completion steps and confirm with HR that the process is complete."", ""8. Verify that all access requests for Milos Panic have been modified or removed as appropriate.""]","[""Verify that Milos Panic's account is disabled and all access is removed."", ""Confirm that Milos Panic's laptop and other equipment are returned and the asset inventory is updated."", ""Ensure that all access requests for Milos Panic have been appropriately modified or removed.""]","Milos Panic's offboarding involves disabling access, forwarding mail, updating inventory, and archiving data. Ensure all steps align with HR and legal requirements.","[""Confirm Milos' last working day and offboarding type."", ""Disable access to systems and applications."", ""Forward Milos' email and update asset inventory."", ""Archive user data according to retention policy."", ""Document completion and confirm with HR.""]","This ticket pertains to an employee leaving the organization, requiring standard offboarding procedures including access management and data handling.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0004,System F,3487,new purchase po purchase po dear purchased by converter pin key key please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,Purchase,"New Purchase PO: Allocation, Receipt, and Tracking","[""Verify that the requester has access to the procurement system and can initiate a purchase order."", ""Check the status of the purchase order (PO) to ensure it is not stuck in a pending state."", ""Ensure that the correct cost centre, GL code, and vendor are selected before proceeding."", ""Guide the user through fixing any validation errors and resubmitting the PO."", ""Confirm PO approval and share the PO number with the requester."", ""Upon receiving the item, log the allocation in the procurement system and consider mandatory receipts as per the order."", ""Track the status of the hardware order using the PO or order number to confirm delivery.""]","[""The PO is approved, and the item is correctly allocated in the procurement system."", ""The item is received, and its delivery is confirmed with appropriate tracking details.""]",This ticket involves logging PO allocation post-receipt of an item. The PO process requires verification of correct entries and timely allocation once items are received.,"[""Verify PO status is correct."", ""Check for any validation errors."", ""Log allocation in procurement system."", ""Confirm receipt with supplier.""]","The request pertains to the purchase order workflow, specifically the step of allocating a PO after receiving an item.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0005,System F,6826,remove assets from assets hello please make assets please thank application engineer ext,Administrative rights,Remove corporate assets from inventory,"[""1. Verify the requester's identity and authority to request asset removal."", ""2. Identify the specific assets to be removed by checking asset tags and serial numbers."", ""3. Update the asset database to reflect the removal, including marking assets as decommissioned."", ""4. Ensure that all relevant information such as warranty status and disposal details are recorded."", ""5. Confirm with the requester that the assets have been successfully removed from the system."", ""6. If necessary, provide documentation or confirmation of the asset removal for audit purposes.""]","[""Assets are accurately removed from the inventory system"", ""Requester receives confirmation of asset removal"", ""Documentation is provided for audit compliance if required""]","The request involves managing corporate assets, which falls within IT's scope but requires clarification on specific details.","[""Verify asset details and approvals."", ""Check for existing assets."", ""Remove old assets."", ""Create new assets."", ""Confirm asset status.""]","The request mentions removing and creating assets, indicating it pertains to corporate resources managed by IT.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0006,System E,5071,re your password expire days re expire days hello user change via procedure mentioned help by indicating steps follow order done thank regards october wrote dear expire days change pc press ctrl alt delete choose change thanks ext information confidential legally privileged intended solely addressee opinions expressed mine necessarily represent opinions susceptible interference intended recipient disclosure copying action taken omitted taken reliance strictly prohibited unlawful received error attachments please notify delete accepts responsibility information errors omissions misuse act committed omitted communication doubt please verify authenticity contents please rely own virus checkers responsibility taken by damage rising out virus infection registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omissions kind regards,Access,Password Expiration and Change Procedure,"[""Verify the user's identity and confirm the account requiring password change."", ""Guide the user through the password reset procedure as outlined in the 'Password Reset Procedure' article."", ""Ensure the user updates saved credentials on all devices and restarts any active sessions."", ""Monitor the account for any re-lock or suspicious activity within 24 hours."", ""Advise the user to change their password immediately if there is suspicion of unauthorized access."", ""Confirm with the user that they have successfully changed their password and can access their account."", ""Document the resolution steps and outcome in the ticket for future reference.""]","[""The user confirms that the password has been successfully changed."", ""The user reports no further issues accessing their account within 24 hours post-change.""]","To change your password due to expiration, follow these steps: Press Ctrl+Alt+Delete, select 'Change a password', enter your current password, then input and confirm your new password. Ensure it meets company policy requirements.","[""Press Ctrl+Alt+Delete."", ""Select 'Change a password' option."", ""Enter current password."", ""Input new password twice."", ""Ensure new password complies with company policy.""]",The ticket indicates a need for password change due to expiration. The provided KB reference mentions a standard procedure for changing passwords on a PC.,"{""needs_human"": false, ""needs_llm_escalation"": true, ""policy_gap"": false, ""reasons"": [""long_ticket""]}",,,,,,,,
AUDIT-0007,System D,6195,wants to share word short document template no numbering with wants share word short document template numbering want share word short document template numbering accept decline requests,Storage,Share Word short document template with/without numbering and manage requests,"[""Confirm that Microsoft Word is functioning correctly and there are no known issues impacting template sharing."", ""Provide detailed instructions on how to save and share a Word document template with or without numbering."", ""Guide the user on how to enable or disable numbering in Word templates before sharing."", ""Explain the process for accepting or declining requests for the shared template within the organization's collaboration platform."", ""Propose updates to the FAQ or quick-reference guides if similar inquiries recur frequently."", ""Encourage the use of training resources or webinars for advanced features of Word template management."", ""Monitor feedback and adjust guidance based on user experience and common issues encountered.""]","[""The user is able to create and share a Word short document template with the desired numbering format."", ""The user can effectively manage incoming requests for the shared template, including accepting and declining them according to policy.""]","To share a Word document template with or without numbering, use the 'Save As' feature to create different versions. For managing sharing requests, use the 'Share' button and set permissions accordingly. Users can accept or decline requests through the sharing notifications they receive.","[""Create two versions of the document: one with numbering and one without, using 'Save As'."", ""Use the 'Share' button in Word to share the document with specific users."", ""Set permissions to 'View Only' or 'Edit' as needed."", ""Users can accept or decline sharing requests via email notifications."", ""For recurring issues, update FAQ or quick-reference guides.""]","The request involves sharing documents and managing sharing permissions, which falls under document management and collaboration tools.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0008,System B,3155,please access to confluence for please confluence dear please confluence thank best regards agile safe agile methodology next annual leave november,Access,Grant access to Confluence,"[""Verify the identity of the requester and obtain approval from their manager or the system owner."", ""Determine the specific Confluence space(s) or group(s) required and the appropriate role level."", ""Review current access levels to prevent granting duplicate permissions."", ""Execute the access change through the IAM tool, AD group management, or the Confluence admin console."", ""Instruct the user to sign out and sign back in to update their session permissions."", ""Test the access by performing key actions within Confluence; document the groups and roles applied in the ticket.""]","[""The user demonstrates successful login and navigation within the specified Confluence spaces."", ""The assigned role level and permissions match the requirements for the user's role within the organization.""]","To grant access to Confluence, we need to verify your identity and confirm the required access level. We will then apply the necessary changes through our IAM tool and ensure the permissions are correctly set.","[""Verify requester's identity and approval."", ""Identify required Confluence access level."", ""Check for existing access to avoid duplication."", ""Apply access changes via IAM tool."", ""Confirm access works for key actions.""]","The request clearly indicates a need for Confluence access related to agile methodologies, aligning with typical access requests.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0009,System A,3487,new purchase po purchase po dear purchased by converter pin key key please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,Purchase,"New Purchase PO: Allocation, Receipt, and Tracking","[""Verify that the requester has access to the procurement system and can initiate a purchase order."", ""Check the status of the purchase order (PO) to ensure it is not stuck in a pending state."", ""Ensure that the correct cost centre, GL code, and vendor are selected before proceeding."", ""Guide the user through fixing any validation errors and resubmitting the PO."", ""Confirm PO approval and share the PO number with the requester."", ""Upon receiving the item, log the allocation in the procurement system and consider mandatory receipts as per the order."", ""Track the status of the hardware order using the PO or order number to confirm delivery.""]","[""The PO is approved, and the item is correctly allocated in the procurement system."", ""The item is received, and its delivery is confirmed with appropriate tracking details.""]","After receiving the items, please log the allocation. Here's how: 1. Navigate to the procurement system. 2. Find the relevant purchase order. 3. Update the status to 'Received'. 4. Allocate the items to the appropriate inventory. 5. Save the changes.","[""Navigate to procurement system"", ""Find relevant PO"", ""Update status to 'Received'"", ""Allocate items to inventory"", ""Save changes""]","The request is related to the Purchase Order Workflow and Tracking Orders and Deliveries, specifically the log allocation step after receiving items.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
AUDIT-0010,System A,3889,forwarding configured for para forwarding configured hi help disable forwarding configured thanks accountant ext mob,HR Support,Disable mailbox forwarding for accountant's email,"[""1. Confirm last working day and offboarding type (resignation, end of contract, termination)."", ""2. Schedule account disablement aligned with HR and legal requirements."", ""3. Remove access to HR systems, shared drives, and applications."", ""4. Disable mailbox forwarding for the accountant's email."", ""5. Verify that mailbox forwarding has been successfully disabled."", ""6. Notify HR of completed mailbox forwarding disablement.""]","[""Mailbox forwarding is disabled for the accountant's email."", ""The accountant's access to HR systems, shared drives, and applications is removed."", ""HR is notified of the completion of mailbox forwarding disablement.""]","To process the employee's offboarding, follow these steps: Confirm the last working day, schedule account disablement, arrange equipment return, configure mailbox forwarding or delegate access, and remove access to HR systems, shared drives, and applications.","[""Confirm last working day and offboarding type"", ""Schedule account disablement"", ""Arrange laptop/equipment return"", ""Configure mailbox forwarding or delegate access"", ""Remove access to HR systems, shared drives, and applications""]","The ticket matches the pattern of an employee leaving the organization, as it involves disabling access and mail forwarding. The resolution steps are based on the Employee Offboarding IT Checklist.","{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,,,,,,
